Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,Cooking_With,CarbonEmission
normal,male,vegan,twice a day,wood,private,diesel,sometimes,275,never,1884,large,4,8,27,1,Sometimes,['Paper'],"['Grill', 'Airfryer']",1886
obese,male,pescatarian,more frequently,wood,private,lpg,never,164,frequently,7506,extra large,5,24,36,15,Sometimes,"['Paper', 'Metal']",['Microwave'],5533
obese,male,vegetarian,daily,natural gas,private,electric,never,65,rarely,2671,extra large,2,18,37,8,Sometimes,"['Paper', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",1487
underweight,female,vegetarian,twice a day,electricity,private,diesel,sometimes,112,rarely,2570,small,4,4,22,12,No,"['Paper', 'Plastic', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1283
underweight,male,omnivore,less frequently,coal,private,hybrid,often,298,rarely,3439,small,1,18,45,9,No,"['Paper', 'Glass', 'Metal']",['Microwave'],2464
underweight,male,pescatarian,daily,wood,private,hybrid,never,74,frequently,4799,extra large,1,20,0,23,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']",[],1732
overweight,female,omnivore,daily,electricity,private,electric,often,136,rarely,8747,extra large,5,21,10,19,Sometimes,"['Paper', 'Plastic']","['Oven', 'Grill', 'Airfryer']",1511
normal,male,vegan,more frequently,natural gas,private,electric,sometimes,164,very frequently,71,medium,5,22,31,8,Yes,['Glass'],"['Oven', 'Grill', 'Airfryer']",2899
overweight,female,vegetarian,twice a day,wood,private,electric,sometimes,62,never,2289,large,7,18,11,17,No,"['Paper', 'Metal']",['Microwave'],1340
underweight,male,vegetarian,less frequently,electricity,private,electric,often,170,very frequently,4630,large,5,19,22,1,Yes,['Plastic'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",2591
overweight,male,pescatarian,more frequently,wood,private,hybrid,never,144,very frequently,8182,large,1,6,8,15,Sometimes,['Paper'],['Oven'],4019
normal,male,vegan,less frequently,coal,private,diesel,sometimes,133,frequently,85,extra large,2,9,9,5,No,"['Paper', 'Glass']",['Oven'],1789
underweight,female,omnivore,twice a day,wood,private,petrol,often,151,rarely,54,large,7,6,4,21,No,"['Paper', 'Plastic', 'Glass']",['Oven'],1568
obese,female,vegan,less frequently,electricity,private,electric,sometimes,251,rarely,1552,small,1,24,46,24,Yes,"['Paper', 'Metal']","['Grill', 'Airfryer']",1274
normal,male,omnivore,less frequently,natural gas,private,electric,sometimes,183,frequently,9489,small,5,22,1,9,Sometimes,"['Paper', 'Glass']","['Oven', 'Microwave']",1610
obese,female,vegan,twice a day,natural gas,private,petrol,sometimes,164,rarely,909,small,1,9,45,22,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",1819
overweight,male,omnivore,more frequently,wood,private,electric,sometimes,189,frequently,3182,large,7,3,13,16,Sometimes,"['Paper', 'Plastic', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2612
normal,male,vegetarian,less frequently,wood,private,petrol,sometimes,72,rarely,837,large,4,6,22,3,No,"['Plastic', 'Glass']","['Oven', 'Grill', 'Airfryer']",1824
normal,male,vegetarian,less frequently,natural gas,private,petrol,sometimes,216,never,2317,extra large,3,14,11,16,Sometimes,[],['Microwave'],2266
underweight,female,vegetarian,more frequently,electricity,private,electric,often,205,rarely,5898,medium,3,13,43,5,Yes,"['Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",1175
underweight,female,omnivore,more frequently,coal,private,lpg,often,176,rarely,7691,extra large,1,9,5,3,Yes,[],"['Stove', 'Grill', 'Airfryer']",3206
normal,male,pescatarian,more frequently,natural gas,private,hybrid,never,238,never,4881,large,7,19,5,21,No,"['Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",2432
normal,female,vegetarian,daily,natural gas,private,electric,sometimes,286,rarely,3010,large,7,7,48,12,Yes,['Metal'],"['Stove', 'Oven']",1977
obese,male,vegetarian,less frequently,wood,private,electric,sometimes,258,never,5119,medium,5,20,26,19,Yes,"['Plastic', 'Glass', 'Metal']",['Oven'],1634
obese,male,pescatarian,daily,natural gas,private,hybrid,often,266,never,21,extra large,5,11,11,5,Yes,"['Plastic', 'Metal']",['Oven'],1888
normal,female,pescatarian,daily,coal,private,electric,often,243,rarely,1167,small,3,20,37,1,Sometimes,"['Paper', 'Plastic']","['Stove', 'Grill', 'Airfryer']",1508
underweight,female,omnivore,more frequently,coal,private,hybrid,sometimes,144,very frequently,6423,extra large,7,11,29,23,Yes,"['Paper', 'Glass']","['Oven', 'Grill', 'Airfryer']",3919
obese,female,vegan,daily,wood,private,petrol,sometimes,129,never,3634,small,2,21,50,7,Sometimes,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave']",2881
overweight,female,pescatarian,twice a day,coal,private,petrol,sometimes,76,never,6218,extra large,3,7,6,2,Sometimes,"['Paper', 'Metal']","['Stove', 'Grill', 'Airfryer']",3197
normal,female,omnivore,more frequently,coal,private,lpg,never,101,very frequently,7733,large,3,18,22,6,No,[],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",4462
underweight,male,pescatarian,less frequently,coal,private,petrol,often,70,rarely,3522,medium,1,9,49,23,No,[],[],3102
underweight,male,omnivore,less frequently,coal,private,lpg,often,237,frequently,9688,extra large,5,0,18,11,Sometimes,[],['Oven'],5224
underweight,male,pescatarian,less frequently,electricity,private,petrol,sometimes,256,rarely,6823,extra large,5,6,2,14,Yes,"['Paper', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",3721
underweight,male,omnivore,more frequently,coal,private,diesel,never,227,rarely,5837,large,7,19,40,17,Sometimes,['Metal'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",3906
normal,female,vegetarian,twice a day,wood,private,hybrid,never,204,rarely,2800,small,4,11,35,6,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']",['Stove'],1362
normal,male,pescatarian,daily,coal,private,hybrid,sometimes,262,frequently,1178,extra large,3,11,45,7,Sometimes,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave']",2761
overweight,female,pescatarian,daily,wood,private,hybrid,never,169,frequently,2582,small,6,6,3,4,Sometimes,"['Plastic', 'Metal']","['Oven', 'Microwave']",1855
overweight,female,vegan,less frequently,electricity,private,petrol,never,64,very frequently,3164,small,5,2,38,23,Sometimes,"['Plastic', 'Metal']","['Oven', 'Microwave']",3364
obese,male,vegan,daily,wood,private,lpg,sometimes,90,frequently,8469,medium,4,17,36,15,Sometimes,"['Paper', 'Plastic', 'Metal']",['Oven'],5035
obese,female,omnivore,twice a day,coal,private,lpg,never,72,very frequently,3280,small,3,8,47,0,Sometimes,"['Plastic', 'Glass', 'Metal']","['Grill', 'Airfryer']",3696
obese,female,omnivore,twice a day,electricity,private,diesel,sometimes,111,never,609,small,5,14,19,13,Sometimes,['Plastic'],"['Stove', 'Grill', 'Airfryer']",1250
overweight,female,vegan,twice a day,wood,private,diesel,never,210,frequently,8766,large,1,22,14,23,No,['Plastic'],"['Oven', 'Grill', 'Airfryer']",3987
underweight,female,pescatarian,more frequently,coal,private,hybrid,often,129,very frequently,3892,small,4,19,48,24,Sometimes,['Glass'],"['Microwave', 'Grill', 'Airfryer']",3475
underweight,male,vegetarian,more frequently,wood,private,diesel,never,265,frequently,4135,extra large,7,3,41,4,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven']",3589
normal,male,pescatarian,less frequently,coal,private,petrol,sometimes,297,frequently,4690,large,5,23,23,22,Yes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave']",4105
obese,male,vegan,less frequently,wood,private,electric,sometimes,172,very frequently,2419,extra large,7,20,3,13,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Microwave']",3342
underweight,male,vegan,daily,electricity,private,electric,sometimes,183,frequently,5544,small,4,24,19,12,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1333
normal,female,vegetarian,more frequently,electricity,private,petrol,often,245,very frequently,1645,small,2,5,28,20,Yes,['Metal'],"['Oven', 'Microwave']",2618
obese,male,pescatarian,daily,natural gas,private,electric,sometimes,77,very frequently,9246,large,5,14,35,9,No,"['Paper', 'Plastic', 'Metal']",['Stove'],3420
overweight,female,omnivore,daily,wood,private,electric,often,181,never,7270,large,1,16,43,8,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Grill', 'Airfryer']",1244
underweight,female,omnivore,less frequently,natural gas,private,hybrid,sometimes,187,never,4588,small,3,5,14,10,Sometimes,"['Glass', 'Metal']","['Oven', 'Microwave']",1525
obese,male,vegetarian,less frequently,coal,private,hybrid,sometimes,202,very frequently,7843,medium,1,7,41,18,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Microwave']",4682
underweight,female,vegan,daily,natural gas,private,lpg,sometimes,89,never,9503,extra large,5,17,0,0,Yes,['Paper'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",3087
overweight,male,pescatarian,daily,electricity,private,electric,never,276,very frequently,2171,medium,7,14,8,0,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",2474
normal,male,vegan,daily,wood,private,diesel,often,56,frequently,1414,medium,7,13,40,3,Yes,"['Plastic', 'Glass', 'Metal']",['Stove'],2441
underweight,male,pescatarian,more frequently,wood,private,electric,never,164,never,4443,large,4,7,39,9,Yes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven']",1358
underweight,female,omnivore,daily,wood,private,lpg,often,146,very frequently,1200,large,7,16,22,18,Yes,"['Paper', 'Glass']","['Grill', 'Airfryer']",2777
normal,female,vegan,less frequently,electricity,private,hybrid,often,143,very frequently,1778,small,7,23,3,4,No,"['Plastic', 'Glass', 'Metal']",['Oven'],1926
normal,female,omnivore,more frequently,electricity,private,lpg,never,65,never,2301,extra large,6,15,35,10,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven']",1825
underweight,female,pescatarian,less frequently,electricity,private,hybrid,never,290,frequently,583,small,5,13,42,22,Yes,"['Plastic', 'Metal']",['Microwave'],1647
overweight,female,omnivore,more frequently,coal,private,hybrid,never,253,frequently,9663,extra large,3,11,49,9,No,['Metal'],"['Grill', 'Airfryer']",3938
overweight,male,omnivore,twice a day,electricity,private,lpg,often,173,rarely,352,medium,2,18,15,24,Yes,[],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1691
obese,male,vegetarian,twice a day,wood,private,lpg,sometimes,84,frequently,4191,extra large,7,0,29,24,No,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave']",4492
underweight,female,pescatarian,more frequently,coal,private,diesel,never,82,rarely,831,large,2,6,23,18,No,"['Paper', 'Plastic']",['Stove'],1409
underweight,female,vegan,less frequently,coal,private,diesel,never,265,frequently,8311,large,2,8,19,17,No,['Metal'],"['Stove', 'Microwave']",3190
normal,male,pescatarian,less frequently,natural gas,private,hybrid,never,207,very frequently,3424,medium,7,19,36,2,No,['Metal'],['Stove'],3425
overweight,female,vegan,twice a day,wood,private,electric,sometimes,56,rarely,6873,large,2,0,33,14,Yes,"['Paper', 'Glass', 'Metal']",[],1067
normal,female,vegetarian,twice a day,natural gas,private,electric,sometimes,152,very frequently,8676,medium,2,2,18,5,No,['Plastic'],['Stove'],2237
obese,male,vegan,twice a day,natural gas,private,hybrid,often,108,frequently,5284,medium,2,18,39,21,Yes,['Plastic'],"['Grill', 'Airfryer']",3597
underweight,male,vegan,daily,electricity,private,diesel,often,137,rarely,2988,small,5,10,11,3,Yes,"['Plastic', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1501
obese,female,omnivore,daily,coal,private,electric,never,251,rarely,4999,extra large,5,3,1,0,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven']",1729
underweight,male,vegan,twice a day,electricity,private,petrol,sometimes,284,never,2236,medium,3,4,50,22,No,[],"['Stove', 'Grill', 'Airfryer']",2360
obese,male,omnivore,more frequently,coal,private,petrol,often,50,never,7386,extra large,1,19,35,2,Yes,['Metal'],"['Grill', 'Airfryer']",5360
overweight,male,vegetarian,twice a day,coal,private,petrol,never,264,very frequently,3374,large,6,13,13,1,No,"['Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",5034
normal,female,omnivore,twice a day,electricity,private,diesel,never,52,frequently,2035,medium,7,19,17,13,No,"['Plastic', 'Metal']","['Stove', 'Oven']",1950
normal,male,pescatarian,daily,wood,private,diesel,sometimes,274,rarely,6365,medium,2,0,3,23,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2493
underweight,male,vegetarian,daily,wood,private,electric,never,80,frequently,5795,medium,2,24,44,18,No,"['Paper', 'Metal']",['Microwave'],1791
normal,female,vegetarian,less frequently,natural gas,private,lpg,sometimes,115,very frequently,1116,small,7,23,3,20,Sometimes,['Plastic'],[],2309
overweight,male,omnivore,less frequently,wood,private,lpg,sometimes,180,never,7507,medium,1,2,50,17,Sometimes,['Metal'],"['Microwave', 'Grill', 'Airfryer']",3939
obese,female,omnivore,more frequently,natural gas,private,hybrid,never,151,very frequently,1370,small,4,23,44,8,Sometimes,[],"['Oven', 'Microwave', 'Grill', 'Airfryer']",3251
underweight,male,pescatarian,twice a day,wood,private,lpg,sometimes,116,frequently,7450,extra large,2,21,42,12,Yes,['Paper'],"['Microwave', 'Grill', 'Airfryer']",4257
underweight,male,pescatarian,daily,coal,private,electric,often,106,rarely,9086,small,4,0,27,22,Sometimes,"['Paper', 'Glass']","['Stove', 'Oven']",1593
underweight,male,vegan,less frequently,coal,private,lpg,never,299,frequently,5652,large,3,13,33,17,Sometimes,['Paper'],"['Stove', 'Oven', 'Microwave']",3767
normal,female,omnivore,twice a day,coal,private,electric,never,275,very frequently,2098,extra large,3,15,10,9,No,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2487
obese,female,omnivore,twice a day,electricity,private,petrol,never,112,very frequently,960,large,5,4,40,11,Yes,"['Glass', 'Metal']","['Grill', 'Airfryer']",3147
overweight,female,omnivore,more frequently,coal,private,petrol,often,118,rarely,2089,medium,7,16,4,20,No,"['Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",2577
underweight,male,vegetarian,daily,wood,private,hybrid,often,66,frequently,504,extra large,4,20,27,20,No,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2236
overweight,female,vegetarian,daily,electricity,private,electric,often,145,never,1519,small,7,7,38,23,Sometimes,"['Paper', 'Plastic', 'Metal']","['Oven', 'Grill', 'Airfryer']",1119
underweight,male,pescatarian,less frequently,coal,private,lpg,never,243,rarely,2369,large,2,5,12,19,Sometimes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Grill', 'Airfryer']",1945
obese,male,pescatarian,less frequently,wood,private,hybrid,never,282,very frequently,8524,small,4,18,35,10,Yes,['Glass'],['Oven'],4931
underweight,female,vegan,twice a day,coal,private,hybrid,often,249,rarely,2989,small,5,13,43,4,No,['Paper'],"['Stove', 'Oven']",2036
underweight,female,vegan,more frequently,wood,private,petrol,sometimes,204,frequently,8442,extra large,6,10,1,5,No,"['Paper', 'Plastic', 'Metal']",['Oven'],3959
obese,female,omnivore,twice a day,electricity,private,lpg,often,206,very frequently,3538,medium,3,11,38,8,Sometimes,"['Paper', 'Glass']",['Microwave'],3736
normal,male,vegetarian,twice a day,coal,private,lpg,sometimes,288,very frequently,8954,medium,1,16,32,3,Sometimes,['Plastic'],['Microwave'],5390
underweight,male,vegan,daily,wood,private,diesel,never,191,never,3297,medium,2,3,15,20,No,['Plastic'],"['Grill', 'Airfryer']",1775
overweight,female,pescatarian,more frequently,coal,private,petrol,sometimes,192,very frequently,710,extra large,2,12,43,22,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",3221
underweight,female,omnivore,twice a day,coal,private,petrol,never,155,never,5139,extra large,7,12,0,9,Sometimes,['Plastic'],"['Stove', 'Microwave']",3230
obese,female,vegetarian,more frequently,wood,private,petrol,often,97,never,5020,medium,3,1,47,17,Yes,"['Paper', 'Plastic', 'Metal']",['Stove'],3264
overweight,female,vegetarian,twice a day,coal,private,lpg,never,134,never,8931,large,3,20,23,23,Sometimes,"['Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",3683
underweight,male,vegan,daily,natural gas,private,petrol,sometimes,160,frequently,5222,small,4,3,33,21,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",3595
underweight,female,pescatarian,daily,coal,private,lpg,never,193,very frequently,4819,medium,1,5,2,5,Yes,"['Paper', 'Plastic', 'Glass']",['Stove'],2636
obese,male,vegetarian,more frequently,coal,private,petrol,sometimes,191,frequently,2836,extra large,4,24,13,15,Sometimes,['Metal'],"['Stove', 'Grill', 'Airfryer']",3855
underweight,female,omnivore,twice a day,wood,private,electric,sometimes,262,never,7153,extra large,1,15,46,24,Yes,"['Paper', 'Metal']","['Stove', 'Oven']",1404
normal,male,omnivore,less frequently,coal,private,hybrid,often,100,rarely,1523,medium,2,22,42,13,Sometimes,['Metal'],[],2199
overweight,male,vegetarian,less frequently,coal,private,petrol,sometimes,166,never,8474,small,4,9,28,21,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",5072
normal,male,omnivore,less frequently,electricity,private,hybrid,never,164,rarely,9025,small,2,24,50,16,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven']",2894
overweight,male,omnivore,twice a day,natural gas,private,petrol,often,292,never,7908,large,7,22,8,6,Sometimes,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave']",5034
obese,female,vegetarian,twice a day,natural gas,private,diesel,sometimes,201,never,6338,small,2,1,36,23,No,"['Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",3087
obese,male,vegetarian,daily,wood,private,lpg,never,67,never,6848,extra large,3,5,30,9,Sometimes,"['Paper', 'Glass', 'Metal']",['Oven'],3557
normal,female,omnivore,more frequently,electricity,private,electric,sometimes,280,never,9060,extra large,2,13,13,5,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",727
obese,male,vegan,daily,coal,private,hybrid,often,91,never,1633,extra large,5,1,10,21,Yes,['Glass'],['Oven'],2551
obese,female,vegetarian,twice a day,electricity,private,electric,never,166,frequently,9649,extra large,5,19,35,0,Sometimes,"['Plastic', 'Glass']","['Microwave', 'Grill', 'Airfryer']",2181
obese,female,pescatarian,more frequently,wood,private,electric,sometimes,71,rarely,4078,small,4,8,49,13,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']",['Oven'],1505
overweight,male,vegan,twice a day,wood,private,electric,never,93,frequently,2071,small,3,2,44,10,No,"['Paper', 'Plastic']",['Oven'],2108
underweight,male,omnivore,daily,natural gas,private,petrol,never,165,never,9910,extra large,3,15,16,16,Yes,['Plastic'],"['Stove', 'Oven']",4786
normal,male,vegan,daily,electricity,private,diesel,often,150,never,5191,extra large,5,7,0,2,Yes,['Metal'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",2436
obese,male,omnivore,more frequently,natural gas,private,lpg,often,73,frequently,1251,medium,4,17,25,21,Yes,[],"['Microwave', 'Grill', 'Airfryer']",3077
normal,male,vegan,daily,wood,private,diesel,often,266,frequently,9087,extra large,5,2,42,8,No,"['Paper', 'Metal']","['Microwave', 'Grill', 'Airfryer']",4767
normal,male,omnivore,more frequently,wood,private,petrol,often,243,frequently,8711,medium,3,20,11,3,No,"['Paper', 'Glass']","['Oven', 'Microwave']",5108
obese,male,omnivore,twice a day,natural gas,private,hybrid,never,56,never,5885,small,2,13,1,21,Sometimes,['Paper'],['Stove'],2107
obese,male,pescatarian,daily,natural gas,private,lpg,often,297,frequently,4707,medium,1,0,40,7,Yes,['Metal'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",4005
overweight,female,vegetarian,less frequently,natural gas,private,petrol,never,53,never,6478,extra large,5,20,50,16,No,"['Paper', 'Metal']",['Stove'],4070
overweight,male,pescatarian,daily,coal,private,electric,never,253,rarely,658,small,4,9,22,16,No,"['Paper', 'Metal']","['Oven', 'Grill', 'Airfryer']",1707
obese,female,vegan,daily,electricity,private,lpg,never,260,never,4360,extra large,7,21,48,4,No,"['Plastic', 'Metal']","['Oven', 'Grill', 'Airfryer']",3152
overweight,female,omnivore,less frequently,electricity,private,electric,often,169,never,6544,extra large,7,7,22,13,Yes,['Paper'],['Stove'],1761
obese,female,vegetarian,less frequently,wood,private,electric,often,139,very frequently,4460,large,3,8,50,17,Sometimes,['Metal'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",3070
overweight,female,pescatarian,twice a day,wood,private,lpg,sometimes,273,very frequently,720,medium,2,15,47,6,Yes,"['Plastic', 'Glass']","['Stove', 'Oven']",2902
underweight,female,pescatarian,more frequently,natural gas,private,electric,sometimes,86,frequently,4842,extra large,6,18,27,24,No,"['Paper', 'Glass', 'Metal']","['Grill', 'Airfryer']",1979
underweight,male,omnivore,more frequently,coal,private,electric,often,209,rarely,9989,medium,4,9,25,21,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven', 'Microwave']",1844
overweight,female,vegan,more frequently,electricity,private,diesel,often,230,frequently,4335,large,2,5,40,15,No,"['Plastic', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2831
underweight,female,vegan,more frequently,wood,private,electric,often,67,rarely,260,medium,5,20,10,6,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Microwave']",881
overweight,male,omnivore,daily,coal,private,lpg,never,158,rarely,8805,small,3,0,12,3,Sometimes,"['Paper', 'Glass', 'Metal']",['Stove'],3948
obese,female,pescatarian,less frequently,natural gas,private,lpg,sometimes,239,frequently,4598,small,1,19,25,20,No,"['Paper', 'Plastic', 'Metal']","['Grill', 'Airfryer']",3078
normal,male,omnivore,more frequently,wood,private,lpg,sometimes,284,frequently,9339,extra large,1,7,3,12,Sometimes,['Plastic'],"['Oven', 'Microwave']",4527
normal,male,vegetarian,less frequently,electricity,private,lpg,sometimes,257,very frequently,2690,medium,4,7,36,0,Yes,['Plastic'],['Oven'],3365
overweight,male,vegan,less frequently,wood,private,diesel,never,70,never,8477,large,7,3,17,17,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",4021
overweight,female,vegan,more frequently,coal,private,lpg,sometimes,258,frequently,7644,medium,6,12,15,9,Sometimes,"['Paper', 'Plastic']","['Oven', 'Microwave']",4028
underweight,male,vegetarian,twice a day,coal,private,petrol,never,125,frequently,5876,extra large,7,14,35,8,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']",4926
overweight,male,pescatarian,less frequently,natural gas,private,diesel,never,132,very frequently,8841,extra large,7,24,37,7,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Microwave']",5571
obese,male,vegan,twice a day,wood,private,lpg,never,274,very frequently,9439,large,3,9,32,20,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",6067
underweight,male,omnivore,daily,coal,private,diesel,often,161,never,8956,medium,5,1,12,9,Yes,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",3579
obese,female,vegan,less frequently,coal,private,diesel,often,156,rarely,4250,extra large,5,6,22,17,Sometimes,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",3294
normal,male,vegetarian,less frequently,natural gas,private,lpg,often,256,never,2742,extra large,7,15,13,2,No,"['Paper', 'Plastic']","['Microwave', 'Grill', 'Airfryer']",2630
obese,male,vegan,less frequently,wood,private,lpg,never,80,frequently,624,large,6,22,13,10,No,"['Plastic', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",2647
normal,female,vegan,twice a day,wood,private,electric,often,116,never,4413,medium,2,14,20,20,Yes,['Plastic'],"['Microwave', 'Grill', 'Airfryer']",1084
obese,male,omnivore,daily,electricity,private,electric,often,271,frequently,3149,extra large,7,11,18,24,Yes,['Metal'],[],3130
underweight,male,pescatarian,less frequently,electricity,private,electric,sometimes,158,rarely,7037,small,2,11,5,3,Sometimes,"['Plastic', 'Glass']",['Stove'],697
overweight,female,pescatarian,twice a day,natural gas,private,petrol,never,267,rarely,3199,medium,5,0,34,4,No,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2659
underweight,male,pescatarian,more frequently,electricity,private,electric,sometimes,158,never,2200,extra large,7,10,25,11,Sometimes,"['Paper', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1570
underweight,male,omnivore,less frequently,electricity,private,electric,never,68,rarely,9691,extra large,5,1,50,19,No,"['Paper', 'Metal']",['Stove'],1656
normal,female,vegetarian,less frequently,wood,private,electric,sometimes,113,rarely,6943,small,2,12,6,12,Yes,"['Paper', 'Metal']","['Stove', 'Microwave']",712
underweight,female,vegan,daily,natural gas,private,electric,sometimes,147,very frequently,9543,large,1,16,2,8,Sometimes,['Paper'],"['Oven', 'Microwave']",1640
overweight,male,pescatarian,less frequently,electricity,private,petrol,never,162,frequently,5254,large,1,9,22,9,No,"['Plastic', 'Glass']",['Microwave'],3786
normal,male,pescatarian,daily,electricity,private,electric,never,170,never,2157,large,4,23,42,12,No,['Plastic'],"['Grill', 'Airfryer']",1594
underweight,female,pescatarian,daily,natural gas,private,petrol,often,239,rarely,6343,medium,4,24,36,8,Yes,[],"['Stove', 'Oven', 'Grill', 'Airfryer']",3508
normal,male,pescatarian,less frequently,natural gas,private,lpg,never,120,frequently,4098,small,7,0,21,6,Sometimes,[],"['Stove', 'Oven']",3144
normal,female,vegan,daily,wood,private,electric,sometimes,128,rarely,783,large,5,10,32,17,Sometimes,"['Paper', 'Plastic']","['Stove', 'Oven', 'Grill', 'Airfryer']",1655
obese,male,vegan,more frequently,wood,private,petrol,never,186,never,8096,medium,5,11,22,23,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",4954
obese,male,vegetarian,less frequently,coal,private,hybrid,never,57,rarely,6134,medium,4,1,8,2,Yes,['Plastic'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",2788
obese,male,omnivore,less frequently,natural gas,private,petrol,sometimes,112,rarely,7768,medium,3,4,3,12,Sometimes,['Plastic'],"['Oven', 'Grill', 'Airfryer']",5128
overweight,male,vegan,less frequently,natural gas,private,petrol,sometimes,75,frequently,2737,medium,4,17,2,22,Yes,"['Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2862
obese,male,pescatarian,more frequently,coal,private,diesel,sometimes,163,frequently,9777,medium,6,15,14,3,No,"['Paper', 'Glass', 'Metal']",['Stove'],5284
normal,female,omnivore,less frequently,coal,private,lpg,never,188,frequently,9888,medium,4,0,41,5,Yes,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",4578
obese,male,vegetarian,twice a day,electricity,private,hybrid,often,237,very frequently,5268,extra large,4,18,7,17,Yes,['Glass'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",4367
